month_label,year,month,call_hour,call_count,avg_duration_sec
January 2025,2025,1,1/26/2025 16:00,22.0,45.05
January 2025,2025,1,1/20/2025 10:00,11.0,249.82
January 2025,2025,1,1/23/2025 12:00,11.0,183.0
January 2025,2025,1,1/11/2025 15:00,10.0,88.9
January 2025,2025,1,1/16/2025 17:00,10.0,63.2
January 2025,2025,1,1/9/2025 16:00,10.0,180.0
January 2025,2025,1,1/16/2025 18:00,9.0,161.56
January 2025,2025,1,1/19/2025 09:00,9.0,163.11
January 2025,2025,1,1/20/2025 00:00,9.0,111.0
January 2025,2025,1,1/4/2025 12:00,9.0,92.44
February 2025,2025,2,2/21/2025 19:00,14.0,158.29
February 2025,2025,2,2/10/2025 14:00,10.0,106.4
February 2025,2025,2,2/13/2025 12:00,10.0,161.0
February 2025,2025,2,2/22/2025 10:00,10.0,174.6
February 2025,2025,2,2/22/2025 18:00,10.0,117.0
February 2025,2025,2,2/10/2025 15:00,9.0,62.33
February 2025,2025,2,2/15/2025 14:00,9.0,187.33
February 2025,2025,2,2/4/2025 10:00,9.0,29.78
February 2025,2025,2,2/4/2025 12:00,9.0,137.56
February 2025,2025,2,2/4/2025 13:00,9.0,120.56
March 2025,2025,3,3/11/2025 19:00,24.0,37.88
March 2025,2025,3,3/24/2025 15:00,17.0,74.88
March 2025,2025,3,3/8/2025 15:00,13.0,51.08
March 2025,2025,3,3/25/2025 01:00,12.0,196.42
March 2025,2025,3,3/25/2025 19:00,12.0,28.42
March 2025,2025,3,3/25/2025 18:00,11.0,122.36
March 2025,2025,3,3/26/2025 16:00,10.0,120.7
March 2025,2025,3,3/11/2025 15:00,9.0,114.22
March 2025,2025,3,3/26/2025 12:00,9.0,144.89
March 2025,2025,3,3/29/2025 22:00,9.0,149.11
April 2025,2025,4,4/16/2025 15:00,11.0,109.55
April 2025,2025,4,4/16/2025 16:00,11.0,67.27
April 2025,2025,4,4/18/2025 22:00,11.0,84.0
April 2025,2025,4,4/26/2025 17:00,11.0,85.91
April 2025,2025,4,4/11/2025 20:00,8.0,61.38
April 2025,2025,4,4/25/2025 18:00,8.0,87.75
April 2025,2025,4,4/29/2025 15:00,8.0,110.63
April 2025,2025,4,4/3/2025 14:00,8.0,165.63
April 2025,2025,4,4/7/2025 01:00,8.0,150.5
April 2025,2025,4,4/25/2025 08:00,7.0,279.29
May 2025,2025,5,5/22/2025 18:00,44.0,32.98
May 2025,2025,5,5/5/2025 16:00,23.0,178.13
May 2025,2025,5,5/5/2025 21:00,23.0,51.61
May 2025,2025,5,5/6/2025 17:00,14.0,89.79
May 2025,2025,5,5/15/2025 08:00,12.0,47.33
May 2025,2025,5,5/24/2025 22:00,12.0,44.25
May 2025,2025,5,5/10/2025 15:00,11.0,80.91
May 2025,2025,5,5/7/2025 12:00,11.0,133.82
May 2025,2025,5,5/26/2025 19:00,10.0,196.8
May 2025,2025,5,5/9/2025 14:00,10.0,143.1
June 2025,2025,6,6/23/2025 12:00,16.0,88.0
June 2025,2025,6,6/21/2025 13:00,12.0,56.0
June 2025,2025,6,6/23/2025 11:00,12.0,61.58
June 2025,2025,6,6/30/2025 11:00,12.0,175.25
June 2025,2025,6,6/7/2025 19:00,12.0,207.25
June 2025,2025,6,6/27/2025 18:00,11.0,107.55
June 2025,2025,6,6/17/2025 12:00,10.0,125.7
June 2025,2025,6,6/18/2025 14:00,10.0,97.8
June 2025,2025,6,6/9/2025 17:00,10.0,172.3
June 2025,2025,6,6/28/2025 17:00,9.0,137.22
July 2025,2025,7,7/4/2025 18:00,42.0,55.88
July 2025,2025,7,7/14/2025 13:00,26.0,38.81
July 2025,2025,7,7/6/2025 13:00,22.0,50.77
July 2025,2025,7,7/6/2025 12:00,19.0,45.53
July 2025,2025,7,7/16/2025 10:00,16.0,85.19
July 2025,2025,7,7/18/2025 18:00,11.0,299.18
July 2025,2025,7,7/4/2025 21:00,11.0,58.82
July 2025,2025,7,7/13/2025 21:00,10.0,170.7
July 2025,2025,7,7/14/2025 19:00,10.0,166.6
July 2025,2025,7,7/3/2025 22:00,10.0,119.8
August 2025,2025,8,8/22/2025 15:00,65.0,40.85
August 2025,2025,8,8/3/2025 18:00,22.0,50.59
August 2025,2025,8,8/21/2025 17:00,15.0,64.8
August 2025,2025,8,8/20/2025 15:00,14.0,84.71
August 2025,2025,8,8/22/2025 16:00,13.0,50.23
August 2025,2025,8,8/3/2025 17:00,13.0,69.23
August 2025,2025,8,8/7/2025 12:00,11.0,120.36
August 2025,2025,8,8/9/2025 18:00,11.0,164.0
August 2025,2025,8,8/16/2025 15:00,10.0,118.8
August 2025,2025,8,8/7/2025 09:00,10.0,129.2
September 2025,2025,9,9/22/2025 13:00,17.0,86.65
September 2025,2025,9,9/18/2025 14:00,14.0,231.29
September 2025,2025,9,9/12/2025 15:00,13.0,149.0
September 2025,2025,9,9/13/2025 19:00,11.0,180.91
September 2025,2025,9,9/22/2025 14:00,11.0,70.45
September 2025,2025,9,9/4/2025 19:00,11.0,127.64
September 2025,2025,9,9/10/2025 13:00,9.0,149.44
September 2025,2025,9,9/10/2025 15:00,9.0,111.56
September 2025,2025,9,9/16/2025 13:00,9.0,123.22
September 2025,2025,9,9/30/2025 10:00,8.0,269.0
October 2025,2025,10,10/31/2025 21:00,14.0,83.64
October 2025,2025,10,10/2/2025 06:00,11.0,44.64
October 2025,2025,10,10/2/2025 07:00,10.0,90.7
October 2025,2025,10,10/16/2025 09:00,9.0,120.67
October 2025,2025,10,10/18/2025 15:00,9.0,179.0
October 2025,2025,10,10/21/2025 18:00,9.0,137.22
October 2025,2025,10,10/31/2025 20:00,9.0,116.56
