month_label,year,month,answered,abandoned,unparsed,total,avg_duration_sec
January 2025,2025,1,1629.0,60.0,0.0,1689.0,171.8
February 2025,2025,2,1369.0,42.0,0.0,1411.0,172.3
March 2025,2025,3,1607.0,50.0,0.0,1657.0,166.8
April 2025,2025,4,1522.0,48.0,0.0,1570.0,167.0
May 2025,2025,5,1710.0,54.0,0.0,1764.0,154.2
June 2025,2025,6,1595.0,66.0,0.0,1661.0,157.0
July 2025,2025,7,1689.0,70.0,0.0,1759.0,156.8
August 2025,2025,8,1668.0,64.0,0.0,1732.0,149.0
September 2025,2025,9,1549.0,57.0,0.0,1606.0,162.5
October 2025,2025,10,1600.0,58.0,0.0,1658.0,162.9
November 2025,2025,11,1561.0,55.0,0.0,1616.0,168.5
December 2025,2025,12,1577.0,57.0,0.0,1634.0,173.5
January 2026,2026,1,1409.0,65.0,0.0,1474.0,171.3
February 2026,2026,2,1269.0,50.0,0.0,1319.0,180.7
March 2026,2026,3,1534.0,63.0,0.0,1597.0,174.8
April 2026,2026,4,1430.0,35.0,0.0,1465.0,176.5
May 2026,2026,5,1646.0,60.0,0.0,1706.0,170.7
June 2026,2026,6,1617.0,40.0,0.0,1657.0,180.9
